segment,day_start_approx,return_start_percent_approx,day_end_approx,return_end_percent_approx,marker_bridge
101,-17.377049,-0.276786,-17.26776,-0.285714,False
102,-17.377049,-0.526786,-17.26776,-0.544643,False
103,-17.26776,0.206835,-17.15847,0.206835,False
104,-17.26776,0.143885,-17.15847,0.143885,False
105,-17.26776,0.026978,-17.15847,0.026978,False
106,-17.26776,-0.285714,-17.15847,-0.285714,False
107,-17.26776,-0.544643,-17.15847,-0.5625,False
108,-17.15847,0.206835,-17.04918,0.206835,False
109,-17.15847,0.143885,-17.04918,0.143885,False
110,-17.15847,0.026978,-17.04918,0.017986,False
111,-17.15847,-0.285714,-17.04918,-0.294643,False
112,-17.15847,-0.5625,-17.04918,-0.571429,False
113,-17.04918,0.206835,-16.939891,0.170863,False
114,-17.04918,0.143885,-16.939891,0.170863,False
115,-17.04918,0.017986,-16.939891,0.017986,False
116,-17.04918,-0.294643,-16.939891,-0.303571,False
117,-17.04918,-0.571429,-16.939891,-0.589286,False
118,-16.939891,0.170863,-16.830601,0.170863,False
119,-16.939891,0.017986,-16.830601,0.026978,False
120,-16.939891,-0.303571,-16.830601,-0.303571,False
121,-16.939891,-0.589286,-16.830601,-0.598214,False
122,-16.830601,0.170863,-16.721311,0.170863,False
123,-16.830601,0.026978,-16.721311,0.017986,False
124,-16.830601,-0.303571,-16.721311,-0.3125,False
125,-16.830601,-0.598214,-16.721311,-0.598214,False
126,-16.721311,0.170863,-16.612022,0.080935,False
127,-16.721311,0.017986,-16.612022,0.080935,False
128,-16.721311,-0.3125,-16.612022,-0.267857,False
129,-16.721311,-0.3125,-16.612022,-0.366071,False
130,-16.721311,-0.598214,-16.612022,-0.607143,False
131,-16.612022,0.080935,-16.502732,0.125899,False
132,-16.612022,0.080935,-16.502732,-0.044643,False
133,-16.612022,-0.267857,-16.502732,-0.267857,False
134,-16.612022,-0.366071,-16.502732,-0.375,False
135,-16.612022,-0.607143,-16.502732,-0.616071,False
136,-16.502732,0.125899,-16.393443,0.215827,False
137,-16.502732,0.125899,-16.393443,0.089928,False
138,-16.502732,-0.044643,-16.393443,-0.053571,False
139,-16.502732,-0.267857,-16.393443,-0.267857,False
140,-16.502732,-0.375,-16.393443,-0.410714,False
141,-16.502732,-0.616071,-16.393443,-0.625,False
142,-16.393443,0.215827,-16.284153,0.215827,False
143,-16.393443,0.089928,-16.284153,0.089928,False
144,-16.393443,-0.053571,-16.284153,-0.0625,False
145,-16.393443,-0.267857,-16.284153,-0.276786,False
146,-16.393443,-0.410714,-16.284153,-0.419643,False
147,-16.393443,-0.625,-16.284153,-0.625,False
148,-16.284153,0.215827,-16.174863,0.215827,False
149,-16.284153,0.089928,-16.174863,0.125899,False
150,-16.284153,0.089928,-16.174863,0.035971,False
151,-16.284153,-0.0625,-16.174863,-0.0625,False
152,-16.284153,-0.276786,-16.174863,-0.285714,False
153,-16.284153,-0.419643,-16.174863,-0.375,False
154,-16.284153,-0.419643,-16.174863,-0.464286,False
155,-16.284153,-0.625,-16.174863,-0.642857,False
156,-16.174863,0.215827,-16.065574,0.233813,False
157,-16.174863,0.125899,-16.065574,0.134892,False
158,-16.174863,0.035971,-16.065574,0.035971,False
159,-16.174863,-0.0625,-16.065574,-0.080357,False
160,-16.174863,-0.285714,-16.065574,-0.285714,False
161,-16.174863,-0.375,-16.065574,-0.375,False
162,-16.174863,-0.464286,-16.065574,-0.491071,False
163,-16.174863,-0.642857,-16.065574,-0.651786,False
164,-16.065574,0.233813,-15.956284,0.233813,False
165,-16.065574,0.134892,-15.956284,0.125899,False
166,-16.065574,0.035971,-15.956284,0.026978,False
167,-16.065574,-0.080357,-15.956284,-0.080357,False
168,-16.065574,-0.285714,-15.956284,-0.303571,False
169,-16.065574,-0.375,-15.956284,-0.375,False
170,-16.065574,-0.491071,-15.956284,-0.544643,False
171,-16.065574,-0.651786,-15.956284,-0.669643,False
172,-15.956284,0.233813,-15.846995,0.233813,False
173,-15.956284,0.125899,-15.846995,0.116906,False
174,-15.956284,0.026978,-15.846995,0.017986,False
175,-15.956284,-0.080357,-15.846995,-0.107143,False
176,-15.956284,-0.303571,-15.846995,-0.3125,False
177,-15.956284,-0.375,-15.846995,-0.383929,False
178,-15.956284,-0.544643,-15.846995,-0.580357,False
179,-15.956284,-0.669643,-15.846995,-0.696429,False
180,-15.846995,0.233813,-15.737705,0.242806,False
181,-15.846995,0.116906,-15.737705,0.125899,False
182,-15.846995,0.017986,-15.737705,0.017986,False
183,-15.846995,-0.107143,-15.737705,-0.125,False
184,-15.846995,-0.3125,-15.737705,-0.3125,False
185,-15.846995,-0.383929,-15.737705,-0.383929,False
186,-15.846995,-0.580357,-15.737705,-0.598214,False
187,-15.846995,-0.696429,-15.737705,-0.696429,False
188,-15.737705,0.242806,-15.628415,0.242806,False
189,-15.737705,0.125899,-15.628415,0.125899,False
190,-15.737705,0.017986,-15.628415,0.017986,False
191,-15.737705,-0.125,-15.628415,-0.125,False
192,-15.737705,-0.3125,-15.628415,-0.357143,False
193,-15.737705,-0.383929,-15.628415,-0.357143,False
194,-15.737705,-0.598214,-15.628415,-0.625,False
195,-15.737705,-0.696429,-15.628415,-0.714286,False
196,-15.628415,0.242806,-15.519126,0.260791,False
197,-15.628415,0.125899,-15.519126,0.125899,False
198,-15.628415,0.017986,-15.519126,0.008993,False
199,-15.628415,-0.125,-15.519126,-0.133929,False
200,-15.628415,-0.357143,-15.519126,-0.357143,False
201,-15.628415,-0.625,-15.519126,-0.642857,False
202,-15.628415,-0.714286,-15.519126,-0.732143,False
203,-15.519126,0.260791,-15.409836,0.260791,False
204,-15.519126,0.125899,-15.409836,0.134892,False
205,-15.519126,0.008993,-15.409836,0.008993,False
206,-15.519126,-0.133929,-15.409836,-0.133929,False
207,-15.519126,-0.357143,-15.409836,-0.366071,False
208,-15.519126,-0.642857,-15.409836,-0.642857,False
209,-15.519126,-0.732143,-15.409836,-0.75,False
210,-15.409836,0.260791,-15.300546,0.278777,False
211,-15.409836,0.134892,-15.300546,0.125899,False
212,-15.409836,0.008993,-15.300546,0.008993,False
213,-15.409836,-0.133929,-15.300546,-0.151786,False
214,-15.409836,-0.366071,-15.300546,-0.366071,False
215,-15.409836,-0.642857,-15.300546,-0.669643,False
216,-15.409836,-0.75,-15.300546,-0.758929,False
217,-15.300546,0.278777,-15.191257,0.296763,False
218,-15.300546,0.125899,-15.191257,0.170863,False
219,-15.300546,0.125899,-15.191257,0.089928,False
220,-15.300546,0.008993,-15.191257,0.008993,False
221,-15.300546,-0.151786,-15.191257,-0.151786,False
222,-15.300546,-0.366071,-15.191257,-0.383929,False
223,-15.300546,-0.669643,-15.191257,-0.678571,False
224,-15.300546,-0.758929,-15.191257,-0.767857,False
225,-15.191257,0.296763,-15.081967,0.296763,False
226,-15.191257,0.170863,-15.081967,0.170863,False
227,-15.191257,0.089928,-15.081967,0.080935,False
228,-15.191257,0.008993,-15.081967,0.008993,False
229,-15.191257,-0.151786,-15.081967,-0.151786,False
230,-15.191257,-0.383929,-15.081967,-0.383929,False
231,-15.191257,-0.678571,-15.081967,-0.723214,False
232,-15.191257,-0.767857,-15.081967,-0.723214,False
233,-15.081967,0.296763,-14.972678,0.314748,False
234,-15.081967,0.170863,-14.972678,0.170863,False
235,-15.081967,0.080935,-14.972678,0.080935,False
236,-15.081967,0.008993,-14.972678,0.008993,False
237,-15.081967,-0.151786,-14.972678,-0.151786,False
238,-15.081967,-0.383929,-14.972678,-0.401786,False
239,-15.081967,-0.723214,-14.972678,-0.75,False
240,-14.972678,0.314748,-14.863388,0.332734,False
241,-14.972678,0.170863,-14.863388,0.170863,False
242,-14.972678,0.080935,-14.863388,0.071942,False
243,-14.972678,0.008993,-14.863388,0.0,False
244,-14.972678,-0.151786,-14.863388,-0.151786,False
245,-14.972678,-0.401786,-14.863388,-0.410714,False
246,-14.972678,-0.75,-14.863388,-0.758929,False
247,-14.863388,0.332734,-14.754098,0.350719,False
248,-14.863388,0.170863,-14.754098,0.170863,False
249,-14.863388,0.071942,-14.754098,0.071942,False
250,-14.863388,0.0,-14.754098,0.0,False
251,-14.863388,-0.151786,-14.754098,-0.169643,False
252,-14.863388,-0.410714,-14.754098,-0.410714,False
253,-14.863388,-0.758929,-14.754098,-0.785714,False
254,-14.754098,0.350719,-14.644809,0.359712,False
255,-14.754098,0.170863,-14.644809,0.170863,False
256,-14.754098,0.071942,-14.644809,0.071942,False
257,-14.754098,0.0,-14.644809,-0.008929,False
258,-14.754098,-0.169643,-14.644809,-0.169643,False
259,-14.754098,-0.410714,-14.644809,-0.410714,False
260,-14.754098,-0.785714,-14.644809,-0.794643,False
261,-14.644809,0.359712,-14.535519,0.368705,False
262,-14.644809,0.170863,-14.535519,0.170863,False
263,-14.644809,0.071942,-14.535519,0.06295,False
264,-14.644809,-0.008929,-14.535519,-0.008929,False
265,-14.644809,-0.169643,-14.535519,-0.169643,False
266,-14.644809,-0.410714,-14.535519,-0.419643,False
267,-14.644809,-0.794643,-14.535519,-0.8125,False
268,-14.535519,0.368705,-14.42623,0.386691,False
269,-14.535519,0.170863,-14.42623,0.170863,False
270,-14.535519,0.06295,-14.42623,0.044964,False
271,-14.535519,-0.008929,-14.42623,0.044964,False
272,-14.535519,-0.169643,-14.42623,-0.169643,False
273,-14.535519,-0.419643,-14.42623,-0.392857,False
274,-14.535519,-0.419643,-14.42623,-0.455357,False
275,-14.535519,-0.8125,-14.42623,-0.830357,False
276,-14.42623,0.386691,-14.31694,0.404676,False
277,-14.42623,0.170863,-14.31694,0.170863,False
